,Credit card,Distance in KM,Name,Price range,Ratings,Review counts,Saturday,Sunday
0,Yes,0.8,Fleuriste,€13-21,4.5,20,10:00 am - 5:00 pm,Closed
1,Yes,0.6,SIS. Deli & Cafe,€13-21,4.5,16,9:00 am - 4:00 pm,9:00 am - 4:00 pm
2,Yes,1.9,Café Engel,€13-21,4.0,27,9:00 am - 9:00 pm,10:00 am - 7:00 pm
3,Yes,2.0,Café DaJa,€13-21,4.5,9,9:00 am - 6:00 pm,9:00 am - 6:00 pm
4,Yes,1.4,La Torrefazione,€13-21,4.0,37,9:00 am - 7:00 pm,10:00 am - 6:30 pm
5,Yes,1.6,Karl Fazer Café,€13-21,4.0,80,9:00 am - 10:00 pm,10:00 am - 6:00 pm
6,Yes,1.5,Tin Tin Tango,€13-21,4.0,27,9:00 am - 12:00 am,10:00 am - 9:00 pm
7,Yes,1.0,Cargo,€13-21,4.5,7,10:00 am - 10:00 pm,10:00 am - 4:00 pm
8,Yes,3.6,Moko Market & Cafe,€13-21,4.5,4,10:00 am - 3:00 pm,Closed
9,Yes,0.9,Deli Cafe Maya,Under €12,4.0,11,10:00 am - 4:00 pm,10:00 am - 4:00 pm
10,Yes,2.6,Piritta,€13-21,4.0,17,9:00 am - 10:00 pm,9:00 am - 8:00 pm
11,Yes,1.5,Factory,Under €12,3.5,11,9:00 am - 6:00 pm,Closed
12,Yes,3.5,Cardemumma,€13-21,3.5,17,10:00 am - 3:00 pm,Closed
13,Yes,3.3,Ursula,€13-21,4.0,27,9:00 am - 10:00 pm,9:00 am - 6:00 pm
14,Yes,1.1,SIS. Deli & Cafe,€13-21,4.0,5,9:00 am - 4:00 pm,9:00 am - 4:00 pm
15,Yes,1.5,Sandro,€13-21,4.0,12,10:00 am - 12:00 am,10:00 am - 11:00 pm
16,Yes,1.8,Hima & Sali,Under €12,4.0,9,12:00 pm - 7:00 pm,12:00 pm - 7:00 pm
17,Yes,7.5,Dylan,€13-21,4.0,12,11:30 am - 2:00 pm,11:30 am - 4:30 pm
18,Yes,2.0,Birgitta,€13-21,4.0,18,9:00 am - 10:00 pm,9:00 am - 10:00 pm
19,Yes,0.8,Uggla,€13-21,4.0,1,10:00 am - 5:00 pm8:00 pm - 4:00 am,10:00 am - 5:00 pm8:00 pm - 4:00 am
20,Yes,0.7,Baker’s,€13-21,3.5,16,9:00 am - 4:00 am,Closed
21,Yes,3.3,Siltanen,€13-21,3.5,17,11:00 am - 3:00 am,Closed
22,Yes,7.2,Factory,Under €12,3.5,2,Closed,Closed
23,Yes,1.3,Dylan Milk,€13-21,2.5,2,Closed,Closed
24,Yes,2.7,IPI Kulmakuppila,€13-21,3.5,5,10:00 am - 5:00 pm,Closed
25,Yes,1.2,Moko Market,€13-21,3.5,21,10:00 am - 5:00 pm,Closed
26,Yes,8.3,Mau Kas,Under €12,4.5,4,Closed,Closed
27,Yes,1.1,Mille Mozzarelle,€13-21,3.5,6,10:00 am - 4:30 pm,Closed
28,Yes,13.7,Café Zoceria,€13-21,4.5,4,10:00 am - 6:00 pm,11:00 am - 4:00 pm
29,Yes,16.2,Gate1,Under €12,3.0,2,Empty,Empty
30,Yes,4.3,Lounaskahvila Mansku,Under €12,0.0,1,9:00 am - 6:00 pm,Closed
31,Yes,4.6,Safari Keittiö,Under €12,0.0,6,12:00 pm - 9:00 pm,Closed
32,Yes,4.3,Sokos Hotel Pasila,€13-21,3.0,3,Empty,Empty
33,Yes,7.6,Factory,Under €12,3.0,1,Closed,Closed
34,Yes,3.1,Palmia Kuntatalo,Under €12,0.0,0,Closed,Closed
